gamma1,gamma2,alpha,nu
-0.846938775510204,1.6326530612244896,-2.302804450025439,12.618350138523027
-0.846938775510204,1.7142857142857142,-2.211650115638545,11.87459222598086
-0.846938775510204,1.7959183673469385,-2.1285892442908225,11.244835846204104
-0.846938775510204,1.8775510204081631,-2.052579727917515,10.70515202103725
-0.846938775510204,1.9591836734693877,-1.9827556708782497,10.23782994170218
-0.846938775510204,2.0408163265306123,-1.9183905337634792,9.82948371426885
-0.846938775510204,2.1224489795918364,-1.8588693950069273,9.469810927003353
-0.846938775510204,2.204081632653061,-1.8036677573872242,9.150755562748637
-0.846938775510204,2.2857142857142856,-1.752335130542059,8.865929438067203
-0.846938775510204,2.36734693877551,-1.7044821536851067,8.610203556073552
-0.846938775510204,2.4489795918367343,-1.6597703799275862,8.37941386697674
-0.846938775510204,2.530612244897959,-1.6179040879828142,8.170145729756431
-0.846938775510204,2.6122448979591835,-1.5786236567928649,7.979573567428208
-0.846938775510204,2.693877551020408,-1.5417001585368661,7.805339904399366
-0.846938775510204,2.7755102040816326,-1.5069309110971116,7.645462952037387
-0.846938775510204,2.8571428571428568,-1.4741357933026886,7.498265184740938
-0.846938775510204,2.9387755102040813,-1.4431541718606884,7.362317553192507
-0.846938775510204,3.020408163265306,-1.4138423227724561,7.236395486798467
-0.846938775510204,3.1020408163265305,-1.3860712554481767,7.119443882792205
-0.846938775510204,3.1836734693877546,-1.3597248670774593,7.010549015006652
-0.846938775510204,3.265306122448979,-1.3346983684996037,6.90891583086628
-0.846938775510204,3.346938775510204,-1.3108969421991592,6.813849413380877
-0.846938775510204,3.4285714285714284,-1.288234573153497,6.724739918218647
-0.846938775510204,3.510204081632653,-1.2666330644581307,6.64104993997883
-0.846938775510204,3.591836734693877,-1.2460211569060025,6.562304254300148
-0.846938775510204,3.6734693877551017,-1.2263337840684045,6.48808109896053
-0.846938775510204,3.7551020408163263,-1.2075114131101468,6.418004935956544
-0.846938775510204,3.836734693877551,-1.1894994698722683,6.35174033801565
-0.846938775510204,3.9183673469387754,-1.1722478342489606,6.288986814138262
-0.846938775510204,4.0,-1.1557103960062096,6.2294744108680415
-0.7959183673469388,0.0,-2.0486285881826056,338.0004762249616
-0.7959183673469388,0.08163265306122448,-2.172708672716158,302.649564100169
-0.7959183673469388,0.16326530612244897,-2.348734508445823,328.0705881513126
-0.7959183673469388,0.24489795918367346,-2.5080271300147334,331.59883060030506
-0.7959183673469388,0.32653061224489793,-2.723411985545181,306.4731110967788
-0.7959183673469388,0.4081632653061224,-2.9373095975641665,336.4078067735807
-0.7959183673469388,0.4897959183673469,-3.3293105515256474,313.9187708819487
-0.7959183673469388,0.5714285714285714,-3.522754577917581,338.88886857597055
-0.7959183673469388,0.6530612244897959,-3.91881543951605,335.5251260484048
-0.7959183673469388,0.7346938775510203,-3.7444192539574557,98.0372891214163
-0.7959183673469388,0.8163265306122448,-3.45441466958225,52.63482320885998
-0.7959183673469388,0.8979591836734693,-3.2119771164357322,36.58072460844882
-0.7959183673469388,0.9795918367346939,-3.0055681007858768,28.38213492790074
-0.7959183673469388,1.0612244897959182,-2.8272720596487115,23.41448760201812
-0.7959183673469388,1.1428571428571428,-2.671442405911233,20.0873578510729
-0.7959183673469388,1.2244897959183672,-2.533920147595775,17.70673391054936
-0.7959183673469388,1.3061224489795917,-2.4115592309065206,15.921454163744329
-0.7959183673469388,1.3877551020408163,-2.3019257104769757,14.534766077428218
-0.7959183673469388,1.4693877551020407,-2.2031001343212657,13.42786692995313
-0.7959183673469388,1.5510204081632653,-2.113543674474362,12.524785532049625
-0.7959183673469388,1.6326530612244896,-2.0320049749108944,11.774681906063922
-0.7959183673469388,1.7142857142857142,-1.9574537806285668,11.142255241191041
-0.7959183673469388,1.7959183673469385,-1.889032642894955,10.602233918233336
-0.7959183673469388,1.8775510204081631,-1.8260211064825846,10.136054779085915
-0.7959183673469388,1.9591836734693877,-1.7678086996117386,9.729779810941489
-0.7959183673469388,2.0408163265306123,-1.7138742473699926,9.372743613101726
-0.7959183673469388,2.1224489795918364,-1.6637698074238676,9.056649051389707
-0.7959183673469388,2.204081632653061,-1.6171080380230958,8.774946879294893
-0.7959183673469388,2.2857142857142856,-1.5735521517419806,8.522400459765056
-0.7959183673469388,2.36734693877551,-1.5328078433093826,8.294774207645194
